Governorate,Latitude,Longitude,Avg Temp Increase (Â°C),Coastal Erosion (%),Desertification Risk,Annual Precipitation (mm)
Cairo,30.0444,31.2357,1.5,0,High,25
Alexandria,31.2001,29.9187,1.7,20,Medium,200
Aswan,24.0908,32.8998,2.2,0,High,1
Giza,29.987,31.2118,1.6,0,High,20
Luxor,25.6872,32.6396,2.1,0,High,5
Port Said,31.2653,32.3019,1.4,15,Low,75
Ismailia,30.5965,32.2715,1.3,0,Medium,50
Suez,29.9668,32.5498,1.5,10,Low,25
Assiut,27.1783,31.1909,1.9,0,High,2
Fayoum,29.3086,30.8428,1.8,0,Medium,15
Minya,28.0871,30.7608,1.7,0,High,3
Sharkia,30.7326,31.6363,1.5,0,Medium,30
Dakahlia,31.0409,31.3807,1.6,0,Medium,40
Beheira,30.5766,30.681,1.4,0,Medium,35
Kafr El Sheikh,31.1107,30.9418,1.4,5,Medium,60
North Sinai,30.4519,33.7488,1.8,0,High,15
South Sinai,28.5094,34.0676,1.7,0,Medium,10
Red Sea,25.0951,34.8983,2.1,0,Medium,5
Matruh,31.3525,27.2453,1.3,10,Low,100
Qalyubia,30.1238,31.2498,1.5,0,Medium,30
Qena,26.1551,32.716,2.0,0,High,5
Sohag,26.5597,31.6959,1.9,0,High,2
Beni Suef,29.0661,31.0822,1.7,0,High,10
New Valley,25.5171,30.5472,2.2,0,High,1
Damietta,31.4175,31.8159,1.4,25,Low,250
Monufia,30.4659,30.9313,1.4,0,Medium,30
Gharbia,30.837,30.9965,1.4,0,Medium,25
